,Год,Инфляция,Накопленная инфляция,Строительство (индекс реальной зарплаты),Строительство (реальная зарплата),Строительство (номинальная зарплата),Производство кокса и нефтепродуктов (индекс реальной зарплаты),Производство кокса и нефтепродуктов (реальная зарплата),Производство кокса и нефтепродуктов (номинальная зарплата),Образование (индекс реальной зарплаты),Образование (реальная зарплата),Образование (номинальная зарплата)
0,2000,20.2,20.2,1.0,2639.8,2639.8,1.0,4916.3,4916.3,1.0,1240.2,1240.2
1,2001,18.58,42.53,1.216,3210.0,3859.3,1.187,5835.6,7012.4,1.23,1525.4,1833.0
2,2002,15.06,64.0,1.05,4052.3,4806.9,1.158,8120.4,9625.3,1.347,2469.1,2927.3
3,2003,11.99,83.66,1.117,5369.3,6176.7,1.073,10327.9,11879.0,1.005,2941.9,3386.6
4,2004,11.74,105.22,1.056,6522.6,7304.7,1.032,12259.1,13729.3,1.108,3752.4,4203.4
5,2005,10.91,127.61,1.108,8093.6,9042.8,1.264,17353.8,19397.1,1.156,4859.1,5429.7
6,2006,9.0,148.09,1.084,9802.4,10869.2,1.037,20114.8,22319.6,1.16,6298.5,6983.3
7,2007,11.87,177.54,1.21,13151.7,14333.4,1.174,26203.2,28565.0,1.153,8051.7,8778.3
8,2008,13.28,214.4,1.158,16598.1,18574.0,1.093,31221.5,34912.5,1.152,10112.6,11316.8
9,2009,8.8,242.07,0.861,15992.2,18122.2,0.96,33516.0,37963.7,1.037,11735.5,13293.6
10,2010,8.78,272.1,1.074,19463.2,21171.7,1.006,38191.5,41563.4,0.973,12934.7,14075.2
11,2011,6.1,294.8,1.028,21764.5,23682.0,1.072,44556.0,48462.6,1.033,14539.7,15809.1
12,2012,6.58,320.78,1.033,24463.5,25950.6,1.151,55780.5,59195.0,1.132,17895.9,18995.3
13,2013,6.45,347.92,1.002,26002.5,27701.4,1.026,60734.1,64760.1,1.159,22015.6,23457.9
14,2014,11.36,398.8,0.995,27562.9,29354.0,1.095,70912.3,75517.0,1.036,24302.4,25862.0
15,2015,12.91,463.2,0.917,26917.6,29960.0,0.97,73251.5,81605.0,0.935,24181.0,26928.0
16,2016,5.38,493.5,0.956,28641.8,32332.0,0.957,78096.0,88194.0,0.924,24881.5,28088.0
17,2017,2.52,508.46,0.988,31944.0,33677.9,1.032,91016.2,95956.7,1.022,28705.9,30257.6
18,2018,4.27,534.44,1.116,37584.5,38518.0,0.89,85401.5,87591.0,1.108,33525.4,34361.0
19,2019,3.05,553.79,1.061,40867.6,42629.9,0.894,78306.4,81685.2,1.035,35563.6,37071.9
20,2020,4.91,585.89,1.018,43397.2,44738.0,0.975,79643.1,82106.0,1.036,38406.5,39563.0
21,2021,8.39,643.44,1.107,49525.0,51944.2,1.013,83173.4,87214.4,1.045,41343.3,43390.5
22,2022,11.92,732.06,1.081,56151.7,60849.5,1.034,90179.7,97720.3,1.029,44648.8,48400.2
23,2023,7.42,793.8,1.012,61579.7,68944.4,1.002,97915.7,109541.0,1.002,48497.0,54262.7
